anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE	combT2STARfit_FWE	combT2STARfit_noFWE	T2STARfit_FWE	T2STARfit_noFWE
405	1	27	3	38	3	36	3	35	1	26	0	7
432	0	0	0	14	0	14	0	15	0	4	0	0
465	1	4	1	24	2	22	1	22	1	23	0	2
433	10	78	23	83	22	82	23	85	17	84	1	25
404	0	0	0	11	0	12	0	13	0	6	0	1
400	1	0	2	11	2	12	2	11	2	15	0	5
388	18	104	38	135	39	131	39	132	31	124	2	18
437	0	19	0	0	0	0	0	0	0	11	0	8
433	0	0	0	0	0	0	0	0	0	0	0	0
433	10	78	16	95	15	94	16	95	15	88	0	10
379	0	0	1	19	0	17	0	0	0	28	0	1
440	8	42	22	80	23	75	22	75	22	71	0	11
427	22	88	25	90	24	91	30	98	14	81	2	26
414	61	152	93	206	91	205	99	210	66	180	5	50
368	0	11	0	10	0	12	0	1	0	5	0	0
461	0	1	0	6	0	6	0	5	0	4	0	0
373	0	0	0	0	0	0	0	0	0	0	0	0
401	25	115	22	92	25	103	31	123	15	90	18	82
398	0	0	1	10	1	9	0	8	2	14	0	1
459	0	0	0	2	0	1	0	19	0	11	0	1
426	0	9	0	10	0	11	0	12	0	7	0	4
427	58	184	80	192	79	190	72	182	67	180	1	18
396	1	38	4	66	4	60	5	58	3	60	0	6
462	3	13	3	46	4	49	2	49	3	42	0	3
419	28	85	39	108	36	108	44	116	35	97	10	51
388	21	76	45	134	46	131	56	129	35	109	2	38
440	2	51	1	62	1	55	0	43	0	36	0	7
436	46	139	49	164	47	161	50	165	46	155	10	36
