anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE	combT2STARfit_FWE	combT2STARfit_noFWE	T2STARfit_FWE	T2STARfit_noFWE
405	0	32	1	53	0	48	2	59	0	29	1	16
432	0	0	0	0	0	0	0	0	0	3	0	0
465	3	0	7	24	5	39	7	43	0	9	0	30
433	0	0	0	0	0	0	0	0	0	6	0	2
404	0	0	0	0	0	0	0	0	0	0	0	1
400	5	35	12	75	11	75	15	83	8	61	0	3
388	0	0	0	0	0	0	0	0	0	0	0	1
437	0	0	0	21	0	27	0	25	0	40	0	2
433	0	0	0	0	0	0	0	0	0	0	0	0
433	0	0	0	0	0	0	0	0	0	5	0	4
379	0	47	0	27	0	24	0	22	0	30	0	0
440	0	15	0	23	0	22	0	24	0	27	0	7
427	0	0	0	20	0	0	0	0	0	16	0	0
414	7	48	13	53	12	54	14	56	10	51	0	2
368	0	0	0	0	0	0	0	0	0	0	0	1
461	0	0	0	18	0	10	0	6	0	6	0	3
373	0	0	0	0	0	0	0	0	0	0	0	0
401	0	0	1	0	1	0	1	0	1	8	0	1
398	2	30	4	24	4	23	1	22	4	41	0	1
459	11	84	38	119	37	117	38	123	27	100	0	26
426	0	0	1	0	1	0	1	0	1	15	0	3
427	0	0	1	7	1	8	1	6	1	8	0	0
396	0	0	3	22	3	20	3	20	3	32	0	3
462	10	70	15	78	14	75	13	84	13	75	0	3
419	2	35	8	78	7	72	7	74	7	71	2	18
388	11	66	19	91	16	87	18	93	18	84	0	7
440	0	0	0	0	0	0	0	0	0	0	0	0
436	0	0	0	24	0	22	0	29	0	27	0	2
