anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE	combT2STARfit_FWE	combT2STARfit_noFWE	T2STARfit_FWE	T2STARfit_noFWE
585	50	155	57	172	60	178	61	187	58	154	20	90
671	61	166	74	171	75	168	76	181	73	161	18	72
623	111	208	140	246	143	247	149	252	138	249	34	118
591	86	217	82	198	85	198	90	203	77	190	58	182
648	9	31	13	29	14	32	14	36	13	33	3	13
343	136	187	156	202	159	205	166	213	142	194	121	176
458	88	270	98	284	102	280	103	300	98	260	23	156
641	152	267	145	254	146	248	155	274	140	243	76	179
351	43	86	43	79	44	78	45	79	44	81	11	38
621	8	24	10	27	10	35	9	34	8	30	0	9
447	10	14	11	17	10	17	12	17	12	33	0	4
524	4	50	10	122	13	127	12	136	10	100	1	33
498	5	39	9	63	9	63	10	63	9	64	0	15
483	57	124	90	164	91	170	95	175	89	158	39	124
173	88	132	99	139	99	138	104	143	98	138	52	113
131	6	18	8	23	9	24	9	25	8	23	3	17
150	14	32	18	37	19	36	19	36	18	37	10	23
220	23	36	23	35	23	36	24	35	23	37	7	21
532	0	49	4	55	4	59	4	61	4	56	0	4
278	56	92	63	95	63	96	65	103	60	92	10	43
628	44	127	51	149	52	150	55	161	47	146	24	59
593	216	291	221	294	224	297	240	321	220	288	147	232
372	76	118	75	123	77	124	78	126	76	127	15	59
519	147	220	161	246	165	254	166	258	159	245	60	120
639	64	162	92	193	97	193	96	203	77	168	8	62
549	5	23	9	39	9	40	10	42	10	37	2	17
422	4	29	8	54	8	54	9	55	7	56	1	10
220	89	108	88	106	89	107	93	113	89	106	54	90
