anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE	combT2STARfit_FWE	combT2STARfit_noFWE	T2STARfit_FWE	T2STARfit_noFWE
585	234	270	225	251	227	257	246	278	211	241	199	250
671	170	213	165	196	165	202	174	222	161	191	126	184
623	147	186	148	183	149	184	155	193	145	187	80	130
591	241	293	225	275	230	282	245	296	218	267	215	257
648	195	230	186	215	188	218	208	236	182	214	146	189
343	137	193	169	212	172	216	185	225	157	199	149	212
458	166	217	182	229	184	229	193	236	175	222	106	161
641	116	150	119	143	118	144	123	153	117	141	100	127
351	85	127	88	136	91	139	89	139	90	133	41	82
621	177	222	170	218	172	220	181	230	169	216	122	181
447	175	204	169	197	170	199	181	209	172	194	116	166
524	169	199	178	201	180	202	182	206	174	199	132	166
498	129	170	127	164	128	161	135	175	126	159	88	122
483	174	197	175	195	175	194	181	202	175	195	132	176
173	67	84	69	88	69	88	74	93	63	84	54	73
131	19	36	20	34	21	34	23	38	18	35	25	51
150	53	71	60	75	61	76	63	77	59	74	37	60
220	90	109	91	108	91	108	95	113	90	108	76	100
532	146	180	148	172	147	172	157	183	146	166	114	151
278	134	159	144	161	145	161	152	168	140	155	122	148
628	174	210	169	195	171	198	189	215	167	194	159	204
593	200	240	198	231	198	231	207	244	196	228	157	211
372	122	148	125	144	125	144	126	146	124	146	98	129
519	88	143	92	146	89	145	93	151	88	145	27	68
639	188	218	185	213	186	216	196	230	164	200	154	196
549	175	210	176	215	177	216	188	228	158	195	116	154
422	149	173	148	171	148	171	157	178	143	169	92	137
220	87	114	87	109	87	109	90	116	84	110	63	84
